Address,AssetName,Battery_voltage,DatePart,Engine_Temp,Fuel_Used,Odo_counter,Power_voltage,Speed,Time,Trip,accuracy,airflow,altitude,brakeDist,brakeFlag,date,diffSpeed,engine,harsh_accl,harsh_brake,harsh_corner,heading,hours00counter,idlecounter,ignition,lat,lon,overspeed,rpm,totalDist_Date,totalDist_Trip
Home,Polo GT,3.78,2017-11-01,33.0 °C,,37196.49,12.99,0,09:19:52,1.0,6,6.0,10.0,0.0,0.0,2017-11-01 09:19:52,,1,2.0,1.0,,0,1017.39,3.0,1,12.89446,80.17812,,899.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.8,2017-11-01,34.0 °C,,37196.53,13.23,26,09:20:15,1.0,10,6.0,12.0,0.0,0.0,2017-11-01 09:20:15,26.0,1,2.0,1.0,,106,1017.39,0.0,1,12.89443,80.17815,,899.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,34.0 °C,,37196.53,13.26,31,09:20:17,1.0,11,6.0,15.0,0.0,0.0,2017-11-01 09:20:17,5.0,1,2.0,1.0,,99,1017.39,0.0,1,12.89438,80.17839,,899.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.8,2017-11-01,36.0 °C,,37196.62,13.1,11,09:20:31,1.0,10,11.0,20.0,0.69,1.0,2017-11-01 09:20:31,-20.0,1,2.0,1.0,,92,1017.4,0.0,1,12.89412,80.17984,,1477.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.8,2017-11-01,36.0 °C,,37196.73,13.02,14,09:20:33,1.0,9,11.0,20.0,0.0,0.0,2017-11-01 09:20:33,3.0,1,2.0,1.0,,100,1017.4,0.0,1,12.89409,80.17993,,1477.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,36.0 °C,,37196.73,13.07,7,09:20:36,1.0,9,11.0,20.0,0.28,1.0,2017-11-01 09:20:36,-7.0,1,2.0,1.0,,108,1017.4,0.0,1,12.89407,80.18002,,1477.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,39.0 °C,,37196.75,12.93,4,09:20:55,1.0,10,7.0,21.0,0.09,1.0,2017-11-01 09:20:55,-3.0,1,2.0,1.0,,0,1017.41,0.0,1,12.89406,80.18005,,899.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,39.0 °C,,37196.75,13.23,17,09:21:01,1.0,10,7.0,22.0,0.0,0.0,2017-11-01 09:21:01,13.0,1,2.0,1.0,,193,1017.41,0.0,1,12.89404,80.18006,,899.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,39.0 °C,,37196.75,13.23,28,09:21:03,1.0,10,7.0,23.0,0.0,0.0,2017-11-01 09:21:03,11.0,1,2.0,1.0,,202,1017.41,0.0,1,12.89389,80.18004,,899.0,42.19000000000233,18.67000000000553
Home,Polo GT,3.78,2017-11-01,39.0 °C,,37196.75,13.23,29,09:21:08,1.0,9,7.0,23.0,0.0,0.0,2017-11-01 09:21:08,1.0,1,2.0,1.0,,213,1017.41,0.0,1,12.89351,80.1799,,899.0,42.19000000000233,18.67000000000553
